**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
DL19       GIALLO           LED_1            LED0805-MET-12                  195.58 mm  149.86 mm 90      
DL20       BLU              LED_1            LED0805-MET-12                  54.61 mm   116.84 mm 90      
DL21       GIALLO           LED_1            LED0805-MET-12                  43.18 mm   109.86 mm 270     
DL22       GIALLO           LED_1            LED0805-MET-12                  15.24 mm   100.97 mm 270     
DL23       GIALLO           LED_1            LED0805-MET-12                  42.55 mm   59.06 mm  90      
DL24       VERDE            LED_1            LED0805-MET-12                  34.29 mm   47.63 mm  90      
DL25       VERDE            LED_1            LED0805-MET-12                  62.23 mm   46.99 mm  90      
DL26       GIALLO           LED_1            LED0805-MET-12                  95.25 mm   150.50 mm 90      
F1         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  0.00 mm    201.30 mm 0       
F2         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  202.00 mm  201.30 mm 0       
F3         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  202.00 mm  124.98 mm 0       
F4         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  94.94 mm   124.98 mm 0       
F5         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  92.00 mm   0.00 mm   0       
F6         FORO_HEART       FORO_HEART       MH3.5-CORONA_7                  0.00 mm    0.00 mm   0       
FR1        500mA            SMD030F-2_2      SMD050F_TYCO                    127.64 mm  189.23 mm 270     
FR2        500mA            SMD030F-2_2      SMD050F_TYCO                    158.12 mm  189.23 mm 270     
FR3        300mA            SMD030F-2_1      SMD030F_TYCO                    143.51 mm  156.85 mm 270     
FR4        300mA            SMD030F-2_1      SMD030F_TYCO                    106.05 mm  153.67 mm 270     
J1         MOLEX 39-29-9089 HEADER_10X2_4    39299083-MOLEX                  73.03 mm   -0.64 mm  180     
J2         MOLEX 172298-8.. HEADER_10X2_8    1722981116-MOLEX                124.46 mm  127.00 mm 0       
J3         MOLEX 172298-8.. HEADER_10X2_8    1722981116-MOLEX                175.26 mm  127.00 mm 0       
J4         MOLEX 39-29-9069 HEADER_10X2_5    39299063-MOLEX                  43.18 mm   -0.64 mm  180     
J5         MOLEX 172298-1.. HEADER_10X2_4    1722981108-MOLEX                17.78 mm   1.60 mm   0       
J8         9-338069-0       HEADER_10X2/SM   TYCO-9-338069-0                 27.94 mm   193.68 mm 0       
J9         98414-G06-10LF   HEADER_5X2       FCI-98414-G-06-10               136.53 mm  201.93 mm 180     
J10        98414-G06-10LF   HEADER_5X2       FCI-98414-G-06-10               166.37 mm  201.93 mm 180     
J11        90130-1208       HEADER_5X2_0     901301208-MOLEX                 104.78 mm  199.39 mm 0       
J12        61200621621      HEADER-3X2       61200621621-WE                  40.64 mm   143.51 mm 0       
J13        2 PIN P.2.54     JUMPER_2         2SIP100-NEUTRO                  115.57 mm  157.48 mm 270     
J15        HEADER 4x2       CONN_RCPT_4X2    2X4-SIP100                      29.85 mm   69.85 mm  90      
L1         DLW32SH101XF2L   CHOKE_DLW32SH1.. DLW32S_MURATA                   139.70 mm  191.77 mm 90      
L7         BLM18BD102       L_1              SMD0603                         84.46 mm   160.66 mm 0       
L8         BLM18BD102       L_1              SMD0603                         82.55 mm   193.04 mm 0       
L9         BLM18BD102       L_1              SMD0603                         82.55 mm   195.58 mm 0       
L10        BLM18BD102       L_1              SMD0603                         80.01 mm   202.57 mm 0       
L11        BLM18BD102       L_1              SMD0603                         121.29 mm  147.32 mm 270     
L12        BLM18BD102       L_1              SMD0603                         102.24 mm  146.69 mm 270     
L13        BLM18BD102       L_1              SMD0603                         131.45 mm  147.32 mm 270     
L14        BLM18BD102       L_1              SMD0603                         124.46 mm  147.32 mm 270     
L15        DLW5BTM102SQ2L   CHOKE_CM_6       DLW5BT-MURATA                   143.51 mm  148.59 mm 270     
L16        DLW5BTM102SQ2L   CHOKE_CM_6       DLW5BT-MURATA                   167.64 mm  150.50 mm 270     
L17        22uH             L                WE-PD-7345-WURTH                31.75 mm   95.25 mm  270     
L18        8.2uH            L                SRR4528A-BOURNS                 41.91 mm   81.28 mm  0       
L19        8.2uH            L                SRR4528A-BOURNS                 14.61 mm   52.71 mm  180     
L20        BLM18BD102       L_1              SMD0603                         157.48 mm  147.32 mm 270     
L21        BLM18BD102       L_1              SMD0603                         149.23 mm  150.50 mm 270     
L22        BLM18BD102       L_1              SMD0603                         193.04 mm  157.48 mm 270     
L23        BLM18BD102       L_1              SMD0603                         82.55 mm   147.32 mm 270     
L24        DLW5BTM102SQ2L   CHOKE_CM_6       DLW5BT-MURATA                   197.49 mm  144.78 mm 90      
L25        BLM18BD102       L_1              SMD0603                         77.47 mm   135.26 mm 270     
L26        BLM18BD102       L_1              SMD0603                         71.76 mm   116.84 mm 270     
L27        BLM18BD102       L_1              SMD0603                         102.87 mm  125.10 mm 270     
L28        BLM18BD102       L_1              SMD0603                         95.25 mm   146.69 mm 270     
L29        BLM18BD102       L_1              SMD0603                         184.15 mm  158.12 mm 90      
